27-Jan-23 15:25:18 - root - INFO - Search bar filled
27-Jan-23 15:25:26 - root - INFO - Pop up removed
27-Jan-23 15:26:09 - root - INFO - Job descriptions extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:27:51 - root - INFO - Technologies used extracted
27-Jan-23 15:31:42 - root - INFO - Data stored in mongo
27-Jan-23 15:37:51 - root - INFO - Data stored in mongo
